PM2.5
35,1
23,6
23
15,1
26,9
44
38,3
31,5
30,9
36
23,6
37,2
41,2
40,6
36,6
36,5
29
31
45,7
50
45,5
40,2
54
50,1
46
40,1
35,3
43,6
47,2
41,5
27,7
32,4
30,5
31,8
36,2
35,2
44,7
41,6
29,8
33,8
43,7
41,1
41,4
48,7
50,4
35,6
39,9
46,2
47
46,8
59,9
58,6
42,3
41,6
42,3
41,6
46
46,8
36,4
27,5
47,4
54,7
67
71,8
55,5
41,3
30,9
46
50,1
36,2
40,3
44,1
43,1
50
51,3
28,5
22,3
13,7
18,9
10,8
9,9
12,7
11,4
15,9
11,1
11,9
10,3
14,8
24
22,4
27,5
40,2
40,8
36,5
26,9
18
19,1
17,7
13,5
22,7
23,3
19,9
28
29,2
26
26,5
12,2
17,5
13,7
20,7
16,2
17,7
17
16,1
15,6
10,2
18,4
30,1
28,7
32,2
22,6
13,9
9,6
19,6
24,5
24,8
21,7
19,6
16,4
10,8
9,9
18,4
19,7
24
28,2
21,8
17
17,8
26,2
24,7
19,3
20,4
17,2
10,8
26,1
18,2
20,1
19,3
24,4
18,3
8,2
6,4
16,2
19,2
29,4
35,2
23,5
11,2
13
34,8
57,4
46,5
27,3
29,8
15,9
15
33
26,2
24,2
27,3
18,5
19,3
26,3
28,1
25,5
21,6
25,5
22,1
19,7
21
19,6
21,8
21,4
22,2
19,2
16,5
12,4
26,7
29,6
25,6
23
22,1
12,9
21,8
21,2
24,9
24,4
27,9
22,2
14
25,5
23,8
24,5
23,6
12,2
21,9
19,7
25,5
29,6
28,5
26
24
25,8
14,1
26
38
33,6
33,2
27,3
23,6
21,6
28
34,1
34
25,7
23,3
32
17
30,7
26,2
23,7
32,5
25,1
17,7
11,4
25,4
19,7
35,6
29,5
38,7
31,4
19,1
29,7
35,2
26
39
39,7
26,6
16
28,6
42,6
28,5
23,6
23,9
26,7
21,2
20,1
15
35,4
29,5
38
28
17,3
23,4
29,8
30
26,5
24,7
27,6
19,8
15
25
34,3
31,6
27,9
24,9
19,1
26,7
30,5
30,5
32,2
27,7
21,8
37
39,8
38,7
27,3
30,8
32,1
34,5
20,9
26,6
39,7
38,5
37,7
46,7
36,6
29,2
31,6
39,4
29,7
34,1
29,2
37,2
32,7
19,8
25,1
24,8
29,5
35,1
30,9
28,6
43
44,8
36,7
44,6
35,4
31
17,8
30,9
32,2
29,9
28,8
37,1
34,1
23,2
42,2
38,3
41,7
53,5
48,1
40
20,5
35,8
37,2
35,2
32,1
41,8
37,6
31,8
51,4
58,2
52,6
31,2
26,7
20
17,1
42,6
32
51,2
45,7
